word,score,weights
ugh,4.117879224253232,1
garbage,4.447380111055023,1
unplayable,4.584248973266176,1
pointless,4.594814754709576,1
boredom,4.637409420289855,1
worst,4.724275103685734,1
uninteresting,4.749646968174204,1
uninspired,4.785140796306981,1
awful,4.814829100460395,1
boring,4.9545471582757346,1
waste,4.999187117130983,1
meaningless,5.012217006802722,1
horrible,5.070088067553993,1
disappointment,5.083539138710444,1
whatsoever,5.111282071232877,1
dull,5.151270059497248,1
soulless,5.1574599609375,1
uninspiring,5.178741463414634,1
rinse,5.199626672504378,1
lame,5.2039362280981205,1
terrible,5.26710454343856,1
mediocre,5.287082014076882,1
tolerable,5.296669699727024,1
miserable,5.317608069164265,1
blah,5.327914689265537,1
worse,5.328904114061121,1
disappointing,5.33955543891678,1
crap,5.345462770382696,1
rubbish,5.345593203883495,1
tedious,5.347985646469703,1
joke,5.3601786567511045,1
painfully,5.377743055555555,1
mindless,5.389751372983234,1
arbitrary,5.458312566628041,1
broken,5.461258924917135,1
nonsense,5.463191691616767,1
forgettable,5.476229446935725,1
stupid,5.480294255291178,1
monopoly,5.501684143637659,1
excuse,5.504965626989178,1
wasted,5.543126216117217,1
unsatisfying,5.544429868819374,1
outdated,5.550497719869708,1
trivial,5.551016151884387,1
worthless,5.5555893371757925,1
irritating,5.5559819566787,1
dumb,5.55833233733594,1
sorry,5.564819753577107,1
bore,5.566847908745247,1
poorly,5.56950402879515,1
illusion,5.588759894459103,1
threw,5.589343499197432,1
needlessly,5.592314471243043,1
flawed,5.623143442004118,1
junk,5.634603434178251,1
wasting,5.636379467570183,1
mildly,5.6366600128783,1
harmless,5.637056713928273,1
bland,5.644907407809111,1
trash,5.648011246791346,1
goodwill,5.667502857142858,1
tea,5.674199830532411,1
donated,5.683595945945945,1
drunk,5.687300451092118,1
lousy,5.689417927411652,1
lackluster,5.694427414330218,1
trivia,5.702087626574462,1
exercise,5.711154597366597,1
slog,5.7134143327841835,1
supposed,5.715676703536603,1
pursuit,5.73535223663522,1
horribly,5.736609629783693,1
activity,5.740382855211572,1
shallow,5.743876250658242,1
quit,5.745814438888889,1
poor,5.750208674767061,1
ruined,5.7512768697859995,1
fest,5.754826570321812,1
agency,5.778091364692218,1
substance,5.779346153846153,1
dragged,5.784235745088644,1
stalemate,5.793922033613445,1
novelty,5.7941442803837955,1
utterly,5.818981904761905,1
annoying,5.819421360840794,1
absurd,5.821657181153533,1
pig,5.821890369473046,1
convoluted,5.827560957688808,1
pretend,5.828021387329591,1
repetitive,5.8297372424444305,1
flat,5.8347207798294125,1
cup,5.847213369179601,1
desire,5.848707026584352,1
useless,5.863039715308863,1
zero,5.864478078118065,1
thrift,5.8684017613118735,1
painful,5.869018891069676,1
fundamentally,5.869253152279341,1
alright,5.872588931702816,1
boil,5.877781860828772,1
irrelevant,5.8819210929281125,1
supposedly,5.8953927691043555,1
sake,5.908232706917233,1
clumsy,5.909628136200717,1
barely,5.912224774817634,1
random,5.915844531556356,1
themeless,5.9176023622047245,1
closet,5.91791196013289,1
remotely,5.920082818181818,1
unintuitive,5.9204178470254964,1
toy,5.9235584230055665,1
marketing,5.930168637532134,1
bingo,5.931393955321944,1
unbalanced,5.934970809258767,1
indifferent,5.936447562776957,1
amusing,5.940487537091989,1
inferior,5.940721139534884,1
lazy,5.945366869322152,1
unnecessarily,5.945577753779698,1
motion,5.951186254295532,1
execution,5.954792500592558,1
hate,5.956507623043031,1
bloated,5.963289549839228,1
clone,5.964058164206642,1
severely,5.9643615320512815,1
gimmick,5.970979223553935,1
alcohol,5.973498134328358,1
suck,5.974613109598685,1
tiresome,5.9791589648798515,1
mess,5.979780496078617,1
ladder,5.980417236024845,1
disappointed,5.980622530036043,1
suppose,5.981938819289516,1
mouth,5.982894947874899,1
excite,5.988108635752688,1
childhood,5.993437446626815,1
jackson,6.002141693811075,1
randomly,6.009810385948693,1
wore,6.010102777777778,1
charity,6.013053892215569,1
fake,6.022056330203443,1
ultimately,6.029777493512812,1
repeat,6.030265861182519,1
dislike,6.030850510983763,1
mercy,6.032146117921775,1
chore,6.0324272,1
pass,6.034728170034312,1
kingmaking,6.041233164983165,1
ambiguous,6.043280561122244,1
unclear,6.045711844077961,1
grind,6.048975472689075,1
terribly,6.052319871770336,1
child,6.0554752234887985,1
vaguely,6.057264957264957,1
generic,6.058533377176732,1
obvious,6.059729414318067,1
diversion,6.0599716312056735,1
ridiculous,6.061078885567889,1
ugly,6.064487960457856,1
badly,6.065321355932205,1
premise,6.07245153822536,1
derivative,6.07251582278481,1
frankly,6.079229649840836,1
humanity,6.082428992067196,1
payoff,6.082439257528557,1
taste,6.084730108464071,1
simplistic,6.088685785007071,1
battleship,6.090997302764666,1
stolen,6.092056514913658,1
unfortunately,6.097698215881746,1
buried,6.098150890346767,1
halt,6.105123885034687,1
humor,6.10630456852792,1
acceptable,6.107727774987444,1
idea,6.109388457027401,1
skip,6.110057803468208,1
felt,6.112449216027097,1
bizarre,6.113144078144078,1
vague,6.113349182602175,1
dry,6.116517738377098,1
artificial,6.117363023012552,1
nostalgia,6.120304301899948,1
halfway,6.122833466773419,1
refuse,6.12698974609375,1
recall,6.128594932191292,1
basically,6.128609108006228,1
roll,6.1298621922182255,1
drag,6.13411595811447,1
snowball,6.135757097791798,1
incomplete,6.138124754420432,1
question,6.140384577359847,1
monkey,6.1410115557065215,1
lucky,6.142440806633392,1
answer,6.145906003231889,1
bash,6.146923383050847,1
sigh,6.14757688364524,1
exist,6.149852763661677,1
candy,6.150133072407044,1
garage,6.1524517019319225,1
magnet,6.153268026219957,1
theory,6.154616141732283,1
drinking,6.1574553250345785,1
average,6.160288410093092,1
unnecessary,6.165557375117814,1
awkward,6.166942833917755,1
humour,6.1692491467576795,1
elimination,6.169993295513823,1
sadly,6.17253794102159,1
forever,6.174626434368878,1
definition,6.174867951127819,1
actively,6.175915404040404,1
guess,6.176339663737234,1
severe,6.1781399094650205,1
fell,6.178452593137977,1
pasted,6.1804723854289065,1
elementary,6.181078678206137,1
impossible,6.183349880922432,1
cheating,6.183519696969697,1
practice,6.184010193036261,1
kids,6.186607730852797,1
unable,6.189864840989399,1
forced,6.195341075639158,1
kingmaker,6.197121872909698,1
anticlimactic,6.200183676748582,1
sold,6.205236130151286,1
avoid,6.206819914303521,1
uneven,6.211363290175171,1
silly,6.211614230043998,1
nostalgic,6.211677662582469,1
angry,6.217639585448393,1
checker,6.217875798026697,1
backwards,6.219084721099434,1
weak,6.22029116983968,1
hosed,6.221926444833626,1
marble,6.222076872751062,1
failure,6.224090467323841,1
attempt,6.224482629009095,1
blind,6.226319839527028,1
young,6.231915166497556,1
gave,6.233142104334183,1
messy,6.233875948955918,1
apparently,6.235249744023183,1
spark,6.235808012820512,1
screwed,6.238650480989465,1
memorize,6.239760869565217,1
agreed,6.239825659640905,1
entirely,6.243049316750294,1
obtuse,6.244410957746479,1
mechanical,6.246950604967098,1
rummy,6.250042316678648,1
bell,6.251631412286256,1
steve,6.252466242464836,1
drew,6.253967613412229,1
memory,6.254673280669146,1
incorrect,6.257561953488372,1
shoot,6.258874849683544,1
justify,6.2589044011544015,1
annoyance,6.2636592054263565,1
bother,6.264464372843766,1
meant,6.265619628477307,1
decent,6.266964633722728,1
property,6.270141826484018,1
silliness,6.271127984718243,1
interest,6.271575306522806,1
sad,6.272630351590529,1
literally,6.273067068207716,1
unlucky,6.2746055209452205,1
determined,6.275598183282981,1
runaway,6.276814236591291,1
dependent,6.2791254939603105,1
kill,6.2846308300047395,1
dragging,6.2871301366120225,1
meaningful,6.288891166787452,1
frustration,6.289937446074203,1
distraction,6.290071260767423,1
recognition,6.290727943508425,1
nightmare,6.290752489331437,1
fuss,6.291080701754386,1
slow,6.291641503708698,1
fail,6.29388149291605,1
rid,6.294942826086956,1
chaotic,6.298129023448671,1
restrictive,6.2987514585764295,1
hoped,6.298838863817362,1
nowadays,6.299721604447975,1
overly,6.299777454236271,1
lack,6.302447049746412,1
actual,6.305260664847433,1
obscure,6.306702592592592,1
excessive,6.3070975456261795,1
quot,6.307613814756672,1
merit,6.309386809320018,1
pile,6.309476906170006,1
scrabble,6.309543807354377,1
obsolete,6.31029181184669,1
aged,6.312029896013865,1
promise,6.312078400503778,1
strip,6.317423822714681,1
argument,6.317437291891892,1
completely,6.317573810279892,1
seek,6.318855852852853,1
draw,6.318892094710502,1
virtually,6.323929317548745,1
youth,6.326642935377875,1
redundant,6.326885714285714,1
toss,6.327042728019721,1
convinced,6.327317265026221,1
bottom,6.327546471685316,1
failing,6.329082268041238,1
publisher,6.330286092097075,1
audience,6.330793318563432,1
moderately,6.333231748849441,1
humorous,6.333602285714286,1
problematic,6.338520770083102,1
salt,6.3388816244897965,1
slows,6.339176213592234,1
wear,6.342063185840708,1
wildly,6.343699580448066,1
linear,6.347087388282025,1
stuck,6.347528234051542,1
rolled,6.347939208602151,1
rolling,6.348326813420913,1
essentially,6.348804825990373,1
recipe,6.3506219512195115,1
saving,6.351534195933457,1
device,6.353368333333334,1
missing,6.359602910013021,1
paper,6.360919331727244,1
electronic,6.362556451612903,1
revisit,6.362795227524973,1
generous,6.364922058823529,1
guessing,6.36701583090379,1
younger,6.3686271015087765,1
weird,6.368762870007505,1
liar,6.371246268656717,1
cute,6.372336365254991,1
stick,6.37377474886473,1
questionable,6.373995494505494,1
assume,6.37421595212766,1
practically,6.376631459655485,1
incorrectly,6.377195712954333,1
equivalent,6.378108808479532,1
largely,6.381478635496183,1
remember,6.382186150829176,1
strictly,6.382235268054941,1
headache,6.382877158034528,1
empty,6.3853978953356085,1
left,6.385763590016404,1
grab,6.391079941525497,1
fluff,6.392362030905077,1
font,6.392426278941565,1
ridiculously,6.3933568246253545,1
prize,6.393867816091954,1
fundamental,6.394337686567164,1
domino,6.39586053519967,1
incentive,6.396874974999999,1
swingy,6.397283423913043,1
phrase,6.398390971690895,1
pawn,6.398837185760081,1
loser,6.399789695173582,1
popularity,6.400498354180382,1
instead,6.402420931988647,1
matching,6.402446761285908,1
counting,6.403095336106491,1
spin,6.403855983162959,1
niece,6.403923749999999,1
opposite,6.40437638006022,1
strange,6.404608429174202,1
dealt,6.406325934197886,1
competent,6.408665028665029,1
throwing,6.409159050095812,1
unfair,6.411066635367762,1
fish,6.4118367213464,1
attraction,6.412198997852542,1
kind,6.413213890130631,1
predictable,6.414124648153992,1
static,6.4148523904220776,1
dust,6.4155476190476195,1
goofy,6.415884702678166,1
cumbersome,6.416244180194805,1
wrong,6.416658454487872,1
sort,6.416900887096774,1
honest,6.417643232682059,1
identical,6.418617807050093,1
quote,6.419048401826484,1
ruin,6.419349981374873,1
broke,6.421643152732367,1
luster,6.421880657640232,1
purely,6.422810744985673,1
target,6.4246202473413785,1
string,6.424967018469657,1
ended,6.425017697039599,1
decided,6.425136821377071,1
purpose,6.429357429956895,1
wa,6.4296993508280496,1
loop,6.433329625884732,1
shame,6.433578023952096,1
solely,6.433844761627907,1
exact,6.434391098148618,1
penalty,6.434680468899521,1
distinguish,6.434820929592959,1
intended,6.435284611384783,1
noise,6.4355117574257426,1
upside,6.437202869038607,1
saboteur,6.437261697247707,1
stripped,6.437327469553451,1
save,6.437407241691452,1
constrained,6.437642118863049,1
flip,6.438749733772471,1
grain,6.440719834710745,1
bookkeeping,6.441761136031204,1
told,6.44201896807152,1
response,6.442325722855429,1
cheat,6.444065841584159,1
talisman,6.445089128966914,1
confused,6.445690322580645,1
concept,6.448236545684538,1
dexterity,6.448564531495376,1
problem,6.448605567099888,1
warrant,6.450602769679301,1
syndrome,6.451112129760226,1
conclusion,6.451157981102363,1
correct,6.451418607257205,1
math,6.451562229043684,1
reality,6.453364941935484,1
fine,6.453561134812286,1
penguin,6.453698630136986,1
raw,6.453851132686085,1
technically,6.454033143032535,1
ball,6.454702669605682,1
heavily,6.4562870270270265,1
vocabulary,6.45799448757764,1
accurately,6.461600413223141,1
thin,6.462410517045455,1
backer,6.463000959232614,1
legal,6.464544708777686,1
sentence,6.465874346349745,1
dump,6.467931345980126,1
request,6.470284073506891,1
sound,6.471425127076784,1
accidentally,6.472137282229965,1
promising,6.473424621246078,1
drawing,6.474435958913276,1
slide,6.475070985915493,1
automatic,6.475162212389381,1
locked,6.475472736625515,1
circumstance,6.476124874943156,1
description,6.476745807962529,1
pity,6.4789968821138215,1
text,6.479556349832719,1
fall,6.479581058173952,1
principle,6.47967005826657,1
connect,6.479810027855153,1
pencil,6.479814657332351,1
appeal,6.48059593272548,1
harsh,6.4814943342776195,1
away,6.482363759150404,1
nephew,6.482722371967655,1
occasion,6.4829491547012505,1
low,6.483746571809397,1
credit,6.484443554006968,1
odd,6.484627523789385,1
unfortunate,6.485270873251378,1
tax,6.487106019151846,1
stopped,6.487555669050051,1
drawn,6.489564902028985,1
attrition,6.49030137977227,1
rest,6.490347437909268,1
letter,6.490436420852511,1
roller,6.493690874384237,1
extreme,6.494051328200192,1
properly,6.494702311225428,1
pattern,6.49478171005386,1
impress,6.494849917081261,1
intention,6.495151110254433,1
automatically,6.4952599750623445,1
stall,6.496414285714286,1
steal,6.496467579387716,1
repeatedly,6.497278360071302,1
transparent,6.4977473281703775,1
wonky,6.498304712041885,1
license,6.5004881889763775,1
sell,6.502337442177849,1
thrown,6.502540808690405,1
spend,6.503097210082215,1
funny,6.503783472314877,1
underlying,6.503830088495576,1
bone,6.5039962326621925,1
object,6.505550032488628,1
enthusiasm,6.506769179894181,1
affair,6.507847074161869,1
mass,6.508200442967885,1
shake,6.508826713819369,1
resulting,6.509451567058824,1
desired,6.51063498908297,1
occasionally,6.511555135852592,1
forgot,6.512248489736071,1
prior,6.5147266111111115,1
woman,6.514761241699867,1
inevitably,6.515000721500721,1
removed,6.515043922628952,1
half,6.515296317113769,1
domain,6.516163358778627,1
deserve,6.51792665723982,1
causing,6.518874352363413,1
result,6.518986583156103,1
luck,6.5199878434018865,1
effort,6.5202687314267465,1
geography,6.521201171875,1
honestly,6.521305717623908,1
imbalance,6.521325556717199,1
massively,6.5213663752122235,1
gang,6.521829548926882,1
computer,6.522173894665767,1
leaf,6.522472579467681,1
picture,6.525411743856332,1
offensive,6.525539068369647,1
pop,6.526059554256485,1
hey,6.526518071850841,1
victim,6.52669977519942,1
randomness,6.528124788737077,1
customer,6.528290681909347,1
found,6.530037003694303,1
entertainment,6.53058684232715,1
mathematical,6.53105141980046,1
trap,6.532008242621176,1
word,6.533670200256579,1
hole,6.533929824561404,1
spent,6.534519649648712,1
stealing,6.535118768283294,1
dollar,6.53543373078521,1
reason,6.536333366493331,1
yard,6.536871357202331,1
adult,6.537135278091028,1
stack,6.537294611117038,1
educational,6.538793006004945,1
recognize,6.539704968944099,1
outright,6.540444162436549,1
cash,6.540934288446215,1
decently,6.54257085106383,1
eliminate,6.54350197029703,1
gambling,6.543685280099041,1
particularly,6.5441731524957705,1
error,6.544426272045856,1
symbol,6.5448973178148275,1
engage,6.544996285979573,1
outcome,6.545226382369147,1
move,6.545300247988652,1
convince,6.545867988032909,1
happening,6.546118669298653,1
square,6.5462864649004056,1
saved,6.546557268722467,1
indicate,6.546805539215686,1
fare,6.54698468875813,1
shot,6.547927390086469,1
ninja,6.548052542001461,1
limiting,6.548221008771929,1
plain,6.548345330380213,1
coherent,6.548430451127819,1
reduced,6.548923528715216,1
written,6.549865417482642,1
throw,6.550366802030457,1
assigned,6.552845217794254,1
catching,6.553389680772086,1
narrow,6.553861889927311,1
pain,6.553919581387303,1
ran,6.553953566666667,1
ago,6.554353814915087,1
calling,6.555018639798488,1
deduce,6.555855577047066,1
correctly,6.556124309412862,1
guy,6.556202086400889,1
colour,6.556237984578313,1
disaster,6.556767990074442,1
probability,6.556854509532062,1
functional,6.557778218043429,1
occasional,6.558004511278196,1
finger,6.558025099479645,1
cheap,6.558424824682283,1
recover,6.55997766610832,1
restricted,6.561092783505154,1
mild,6.563724847560976,1
meaning,6.564381738277419,1
pretzel,6.566081446540881,1
calculating,6.568065644850818,1
long,6.568220800293828,1
lastly,6.568435775451951,1
swap,6.568794153424657,1
body,6.569049088252484,1
thief,6.5695314954486355,1
thankfully,6.570092877767084,1
effectively,6.571209661452753,1
maze,6.571622453058753,1
hell,6.572058234758872,1
passing,6.572566375654776,1
zombie,6.573024092598097,1
remove,6.574444972254484,1
deterministic,6.574483796296296,1
hope,6.57483446233566,1
stale,6.575003206459054,1
oddly,6.575531780688985,1
mechanically,6.576342069896743,1
distributed,6.576457249070632,1
dice,6.57732528415777,1
bunch,6.579065157434174,1
dropping,6.579261860949209,1
underneath,6.579658457550227,1
haunt,6.580300508552936,1
mood,6.580554233794413,1
pretty,6.581334116737704,1
oversized,6.581336585365855,1
exchange,6.582293659545142,1
vote,6.583400306820865,1
optimal,6.583809821844822,1
urge,6.585110608020699,1
vastly,6.585539200340281,1
sat,6.587218100890207,1
contest,6.587605490196078,1
serve,6.588037181467182,1
odds,6.588108028114019,1
bust,6.588362023939064,1
testing,6.589562887760858,1
doubt,6.590311237032025,1
soul,6.5903681161872525,1
instance,6.5903981847218525,1
doctor,6.590841337386019,1
doe,6.591486938507107,1
fix,6.591685393659458,1
restriction,6.591738029639609,1
argue,6.591739686228936,1
judge,6.591987569364162,1
collect,6.592430291461713,1
nuclear,6.5936454156577895,1
icon,6.593674142857143,1
additionally,6.593859428030302,1
sick,6.593970625000001,1
labyrinth,6.5941498740554145,1
search,6.594197911036036,1
spending,6.594816945641026,1
catch,6.595444584239411,1
determine,6.5956944457478,1
sitting,6.597380784627702,1
delay,6.597773033884948,1
adequate,6.597849002849003,1
passive,6.597884982121573,1
sum,6.598351211904762,1
conversion,6.599519118996636,1
flimsy,6.599615889328063,1
neat,6.599775273441845,1
school,6.600231976047905,1
admittedly,6.600594450041981,1
affected,6.60093057996485,1
differentiate,6.601435555555557,1
reaction,6.601451548864507,1
killing,6.601515144053189,1
blank,6.601632435817158,1
serf,6.601859332238642,1
million,6.602136635730859,1
bog,6.603324708454811,1
totally,6.604130049600911,1
lesson,6.604506512301013,1
happen,6.605112127163281,1
dictate,6.60641282051282,1
drink,6.606702380952382,1
resolve,6.606712452769774,1
tested,6.607180733539549,1
wound,6.6073226544622425,1
modifier,6.608317673816568,1
liking,6.6098275921711425,1
person,6.610025399304322,1
speed,6.612721797134186,1
attribute,6.613777703156481,1
attack,6.614311336637652,1
bang,6.614378317680686,1
cloud,6.614417637271214,1
chicken,6.6145912854030495,1
typical,6.614713779278329,1
wacky,6.615014322916667,1
pair,6.615019512195122,1
distance,6.615635786223278,1
leader,6.616056142178785,1
originality,6.618259816753926,1
nut,6.618641469979295,1
leave,6.618739951569942,1
solitary,6.618784629133154,1
walking,6.618807582260373,1
dead,6.619237010390636,1
defend,6.619559310824922,1
fancy,6.619663489871087,1
voting,6.619693099173554,1
discard,6.620268872697598,1
hot,6.620509505703422,1
loud,6.620642628205128,1
imagine,6.621080027052159,1
fragile,6.62142782152231,1
hanging,6.621804769357496,1
turned,6.622718337261372,1
ambiguity,6.623176023329798,1
tendency,6.624138561320754,1
impression,6.624857351108448,1
verdict,6.626276752767529,1
screw,6.626334975999999,1
confusion,6.626636506616258,1
generally,6.627096327523841,1
shooting,6.629090909090909,1
clue,6.629499944751382,1
shark,6.629959655963303,1
product,6.630236886997822,1
basic,6.631413929862387,1
screwing,6.632417763157895,1
excitement,6.633994841802493,1
shape,6.634340775862069,1
bug,6.634861245447925,1
biggest,6.635581244861042,1
fruit,6.635647653000595,1
gifted,6.635776351495727,1
positive,6.637390990159902,1
owner,6.637752040615788,1
charm,6.638143296590618,1
similarly,6.639242390684411,1
assuming,6.640238392181589,1
lower,6.6402469964753275,1
circle,6.641294962003941,1
vampire,6.641311258278146,1
whim,6.64162424969988,1
miss,6.641721727228447,1
developer,6.6418716931216935,1
involve,6.642076223637088,1
limited,6.6423052621240855,1
shut,6.642564826700899,1
blame,6.642780832678712,1
revealing,6.642959420289855,1
simply,6.643497169962244,1
grade,6.643756646216769,1
selling,6.644643848171578,1
tiny,6.644830713545104,1
damage,6.644880175291277,1
panic,6.645203339130435,1
code,6.645673970448046,1
information,6.645991218701655,1
colored,6.646036926456984,1
claim,6.646447859167536,1
respect,6.646637306713644,1
latter,6.646799004137931,1
effect,6.647186014927362,1
land,6.647294117821781,1
lose,6.647379997140507,1
college,6.6475521754510085,1
item,6.64783727090636,1
vein,6.6484026113013694,1
deliver,6.648647212008993,1
led,6.648930710156895,1
alhambra,6.649120129745315,1
tin,6.649802049622438,1
hide,6.650383656509695,1
waiting,6.651220138908882,1
chaos,6.65122476869675,1
money,6.651392476278058,1
obstacle,6.6518749999999995,1
lock,6.652201268364348,1
color,6.652260050363047,1
flash,6.653296460176992,1
flaw,6.653854235018086,1
fairy,6.653870920957217,1
trouble,6.65411911822572,1
collected,6.6549688416815735,1
shop,6.655064271225731,1
hook,6.655282661782661,1
majority,6.656722651423174,1
falling,6.657483958090803,1
chance,6.65750180478118,1
boat,6.658756026165168,1
matter,6.659885201638159,1
author,6.660160505381376,1
calculate,6.661204063710719,1
convincing,6.661321362799263,1
abstract,6.661966651891357,1
eventually,6.662303945371774,1
resolution,6.663261965891473,1
ass,6.6652,1
pushing,6.666236626192541,1
eating,6.666918854415275,1
suspect,6.667146383235945,1
plastic,6.668341433341099,1
inherent,6.668628453038673,1
potentially,6.668897700778432,1
leaving,6.669107885379628,1
identity,6.669543373493976,1
eat,6.669660795568983,1
special,6.66985906184462,1
attacker,6.670382535675083,1
logic,6.670447633969119,1
type,6.670485199629825,1
swing,6.670488868091118,1
admit,6.670830470879802,1
clip,6.671217913204063,1
rotating,6.671376395534289,1
quarter,6.671394607843138,1
popular,6.671569508928571,1
fulfill,6.672031668856767,1
physically,6.672080372250423,1
interesting,6.673255195532562,1
ending,6.673286730794229,1
killer,6.673511855237154,1
minimal,6.6736099981929895,1
sheep,6.673946490887941,1
news,6.674022190408017,1
